Unnamed: 0,name,bin_acc_FFN,auc_FFN,bin_acc_Unet,auc_Unet,mix_type,noc
0,6A2.1,0.9766666889190674,0.9937126040458679,0.9716666936874392,0.9906460046768188,A,2
1,6A2.2,0.9818750023841858,0.9963210821151732,0.9745833277702332,0.9962465167045592,A,2
2,6A2.3,0.9745833277702332,0.9937088489532472,0.9706249833106996,0.9922287464141846,A,2
3,6A3.1,0.9720833301544192,0.9961056113243104,0.96854168176651,0.992755115032196,A,3
4,6A3.2,0.9716666936874392,0.9917701482772828,0.9670833349227904,0.9917554259300232,A,3
5,6A3.3,0.9750000238418579,0.9917353987693788,0.975208342075348,0.9942669868469238,A,3
6,6A4.1,0.9668750166893004,0.9868285655975342,0.9691666960716248,0.9948320388793944,A,4
7,6A4.2,0.9708333611488342,0.993011474609375,0.9662500023841858,0.9924660921096802,A,4
8,6A4.3,0.9677083492279052,0.9846476316452026,0.9681249856948853,0.9942157864570618,A,4
9,6A5.1,0.9679166674613952,0.995428204536438,0.9745833277702332,0.9952930212020874,A,5
10,6A5.2,0.9643750190734864,0.9872161149978638,0.9670833349227904,0.99455064535141,A,5
11,6A5.3,0.9652083516120912,0.9858047962188721,0.9668750166893004,0.992835819721222,A,5
12,6B2.1,0.9587500095367432,0.9739106893539428,0.9725000262260436,0.9876900315284728,B,2
13,6B2.2,0.9739583134651184,0.9818741679191588,0.9697916507720948,0.9787329435348512,B,2
14,6B2.3,0.9664583206176758,0.9601164460182192,0.9624999761581421,0.9897975325584412,B,2
15,6B3.1,0.9522916674613952,0.9776746034622192,0.9656249880790708,0.9845935106277466,B,3
16,6B3.2,0.9587500095367432,0.980542242527008,0.9670833349227904,0.9868985414505004,B,3
17,6B3.3,0.9560416936874392,0.9794707894325256,0.9577083587646484,0.9856228828430176,B,3
18,6B4.1,0.9516666531562804,0.9783520102500916,0.9568750262260436,0.9853410720825196,B,4
19,6B4.2,0.9412500262260436,0.9549863934516908,0.9499999880790708,0.9769428968429564,B,4
20,6B4.3,0.9447916746139526,0.962222456932068,0.9616666436195374,0.9884624481201172,B,4
21,6B5.1,0.9431250095367432,0.973484218120575,0.9554166793823242,0.9848456382751464,B,5
22,6B5.2,0.9554166793823242,0.9704914093017578,0.9549999833106996,0.977092742919922,B,5
23,6B5.3,0.9412500262260436,0.9818663597106934,0.959583342075348,0.9884674549102784,B,5
24,6C2.1,0.9710416793823242,0.9955917596817015,0.9722916483879088,0.9917917251586914,C,2
25,6C2.2,0.9822916388511658,0.9974207878112792,0.9745833277702332,0.9950100183486938,C,2
26,6C2.3,0.9797916412353516,0.9976766109466552,0.9674999713897704,0.9946178793907166,C,2
27,6C3.1,0.9649999737739564,0.9946359992027284,0.9706249833106996,0.9939579367637634,C,3
28,6C3.2,0.9722916483879088,0.99599426984787,0.9727083444595336,0.9931695461273192,C,3
29,6C3.3,0.9704166650772096,0.9955150485038756,0.9670833349227904,0.993428111076355,C,3
30,6C4.1,0.9641666412353516,0.9920787215232848,0.9649999737739564,0.99090176820755,C,4
31,6C4.2,0.9647916555404664,0.9944810271263124,0.9683333039283752,0.993487536907196,C,4
32,6C4.3,0.9643750190734864,0.995222270488739,0.9658333063125608,0.9933101534843444,C,4
33,6C5.1,0.9608333110809326,0.9934102296829224,0.9700000286102296,0.9952373504638672,C,5
34,6C5.2,0.962291657924652,0.9853906631469728,0.9556249976158142,0.9820636510849,C,5
35,6C5.1,0.9627083539962769,0.9943251609802246,0.9664583206176758,0.9918796420097352,C,5
36,6D2.1,0.9693750143051147,0.99012291431427,0.9660416841506958,0.9927968382835388,D,2
37,6D2.2,0.9641666412353516,0.9934685230255128,0.9662500023841858,0.9940179586410522,D,2
38,6D2.3,0.9695833325386048,0.9896820783615112,0.9770833253860474,0.9899956583976746,D,2
39,6D3.1,0.9627083539962769,0.9873741269111632,0.9641666412353516,0.9928145408630372,D,3
40,6D3.2,0.9624999761581421,0.983023166656494,0.9635416865348816,0.9813926219940186,D,3
41,6D3.3,0.9741666913032532,0.9925407767295836,0.9662500023841858,0.9903386235237122,D,3
42,6D4.1,0.9524999856948853,0.979647159576416,0.9610416889190674,0.988012433052063,D,4
43,6D4.2,0.9593750238418579,0.989838719367981,0.959999978542328,0.9883867502212524,D,4
44,6D4.3,0.9574999809265136,0.9731730818748474,0.9637500047683716,0.9913648366928101,D,4
45,6D5.1,0.961875021457672,0.9892203807830808,0.9708333611488342,0.9944468140602112,D,5
46,6D5.2,0.9510416388511658,0.9890345931053162,0.9652083516120912,0.9925032258033752,D,5
47,6D5.3,0.9383333325386048,0.9868877530097958,0.9583333134651184,0.989319920539856,D,5
48,6E2.1,0.9524999856948853,0.9459476470947266,0.9581249952316284,0.9785497784614564,E,2
49,6E2.2,0.9672916531562804,0.966102123260498,0.9591666460037231,0.9717726111412048,E,2
50,6E2.3,0.9633333086967468,0.9604046940803528,0.9591666460037231,0.9894137382507324,E,2
51,6E3.1,0.9537500143051147,0.9605857133865356,0.9570833444595336,0.9800455570220948,E,3
52,6E3.2,0.9541666507720948,0.937686562538147,0.9524999856948853,0.9697173833847046,E,3
53,6E3.3,0.9572916626930236,0.9529337286949158,0.9577083587646484,0.9704182744026184,E,3
54,6E4.1,0.9502083063125608,0.9423824548721312,0.9387500286102296,0.9772747755050659,E,4
55,6E4.2,0.9645833373069764,0.9747173190116882,0.9602083563804626,0.9800260066986084,E,4
56,6E4.3,0.9577083587646484,0.9675530195236206,0.9558333158493042,0.9863511323928832,E,4
57,6E5.1,0.944374978542328,0.9605973958969116,0.9414583444595336,0.9813759922981262,E,5
58,6E5.2,0.9452083110809326,0.951132833957672,0.9516666531562804,0.99104106426239,E,5
